ID;Contents
supply_test01;팀원들의 사기가 저하된 것 같다.
supply_test02;오랜 이동으로 힘들어하는 히어로가 있다.
supply_test03;휴식처가 보인다.
supply_test04;재정비하는 시간이 필요한 것 같다.
supply_test05;지쳐보이는 히어로가 있다.
supply_test06;졸립니다
supply_test07;낮잠자고싶어요
supply_choice1_01;팀을 재정비한다.
supply_choice1_02;잠시 휴식시간을 가진다.
supply_choice1_03;체력을 회복할 시간을 가진다.
supply_choice1_04;체력을 회복한다.
supply_choice1_05;잠시 휴식시간을 가진다.
supply_choice1_06;체력을 회복할 시간을 가진다.
supply_choice1_07;팀을재정비한다.
supply_choice2_01;다른 보상을 획득할 수 있지만 적은 보상을 획득할 수도 있다.
supply_choice2_02;다르거나, 많거나, 적은 보상 중에 한 가지를 획득한다.
supply_choice2_03;더 많거나, 다르거나, 더 적은 보상을 선택한다.
supply_choice2_04;다르거나, 많거나, 적은 보상 중에 한 가지를 획득한다.
supply_choice2_05;다른 보상을 획득할 수 있지만 적은 보상을 획득할 수도 있다.
supply_choice2_06;다르거나, 많거나, 적은 보상 중에 한 가지를 획득한다.
supply_choice2_07;더 많거나, 다르거나, 더 적은 보상을 선택한다.
supply_choice3_01;현재까지 얻은 보상들을 사무소로 보낸다.
supply_choice3_02;보상을 잃어버릴 수 있으니 여태까지 얻은 것들을 사무소로 보낸다.
supply_choice3_03;획득한 보상들을 사무소로 전송한다.
supply_choice3_04;보상을 잃어버릴 수 있으니 여태까지 얻은 것들을 사무소로 보낸다.
supply_choice3_05;현재까지 얻은 보상들을 사무소로 보낸다.
supply_choice3_06;현재까지 얻은 보상들을 사무소로 보낸다.
supply_choice3_07;획득한 보상들을 사무소로 전송한다.
event_rescue_start;잔해에 깔린 시민이 있다!
event_rescue_choice01;구조를 시도한다
event_rescue_choice02;구급대를 부른다 <골드 소모(소), 보상 : 소>
event_rescue_choice03;무시하고 지나간다
event_rescue_choice01_normal01;구급대가 마침 찾아와 시민을 구해줬다.
event_rescue_choice01_normal02;잔해가 무너져 우리를 덮쳤다!
event_rescue_choice01_special01;엄청난 힘으로 시민을 구조했다!
event_rescue_choice01_special02;시민을 데리고 텔레포트해서 구조했다!
event_rescue_choice01_special03;마법으로 돌을 치우느라 시간이 걸렸지만, 안전하게 구조했다!
event_rescue_choice01_special04;온 몸을 던져가며 잔해를 치워 시민을 구조했다
event_rescue_choice01_special05;중장비를 활용해 시민을 구조했다
event_rescue_choice01_special06;구출하는데에는 성공했지만, 잔해가 무너져 다쳤습니다.
event_rescue_choice02_normal01;구급대의 지원을 요청하자, 구급대가 와서 시민을 구출해줬다.
event_rescue_choice03_normal01;지금 당장의 임무가 급하다. 뒤에 구급대들도 오고 있으니 알아서 구해주겠지. 일단 임무를 진행하자.
event_newbiehero_start;힘들게 싸우는 히어로가 보인다!
event_newbiehero_choice01;함께 싸운다 <전투 개시, 난이도에 따라 C~B등급의 히어로 하나를 획득>
event_newbiehero_choice02;육탄돌파! <모든 히어로의 HP 15% 감소, 난이도에 따라 C~B등급의 히어로 하나를 획득>
event_newbiehero_choice03;무시하고 작전을 속행한다
event_newbiehero_choice01_normal01;히어로를 도와 싸우자!
event_newbiehero_choice02_special01;신체의 튼튼함을 앞세워서 공격을 모두 뚫었습니다!
event_newbiehero_choice02_special02;엄청난 속도로 돌파했습니다!
event_newbiehero_choice02_special03;공간이동으로 간단히 돌파했습니다!
event_newbiehero_choice02_special04;참을 수 없다! 난폭하게 돌진했지만, 곧 능숙하게 헤쳐나갔습니다!
event_newbiehero_choice02_special05;적의 빈틈을 확인하고, 순식간에 파고들었습니다!
event_newbiehero_choice02_special06;바람을 타고 높이 날아 돌파했습니다! …어라, 너무 높은데에에에에에!
event_newbiehero_choice02_normal01;공격을 받으면서 도망쳤다!
