ID;Contents
tutorial_0_0;1. 플레이어 정보를 확인할 수 있습니다.
tutorial_0_1;아이콘을 눌러 대표 히어로를 설정할 수 있습니다.
tutorial_0_2;
tutorial_0_3;2. 도움말과 환경설정을 열 수 있습니다.
tutorial_1_0;1. 보유 중인 전리품들을 확인할 수 있습니다.
tutorial_1_1;2. 히어로 승급 심사를 진행하는 건물로, 심사를 통과하면 히어로의 등급이 올라갑니다.
tutorial_1_2;
tutorial_1_3;3. 히어로들의 상세 정보를 확인할 수 있습니다.
tutorial_1_4;4. 히어로를 영입하는 건물로, 랜덤한 히어로를 획득할 수 있습니다.
tutorial_2_0;1. 난이도를 조절하여, 히어로들이 투입될 작전의 난이도를 설정할 수 있습니다.
tutorial_2_1;작전을 실패하면 아무 보상도 획득할 수 없으니 주의하세요!
tutorial_2_2;
tutorial_2_3;2. 히어로들을 투입할 작전을 선택할 수 있습니다.
tutorial_2_4;3. 버튼을 눌러 작전을 종료하고 사무실로 돌아갑니다.
tutorial_3_0;1. 주요 빌런, 작전 명 등 작전의 세부 정보를 확인할 수 있습니다.
tutorial_3_1;2. 슬롯을 클릭하여 작전에 투입할 히어로를 선택할 수 있습니다.
tutorial_3_2;가운데 슬롯에 배치되는 히어로가 가장 앞에 서게 되니 주의하세요!
tutorial_3_3;3. 작전 별 추천 타입을 나타냅니다.
tutorial_4_0;작전 별 추천 타입을 모두 맞출 시 추가 버프가 부여됩니다!
tutorial_4_1;작전을 개시하여 마지막 최종 빌런까지 쓰러트려 보세요!
tutorial_5_0;1. 남은 적이 0이 되면 다음 길로 나아갈 수 있습니다.
tutorial_5_1;2. 자동 전투와 배속을 설정할 수 있습니다.
tutorial_5_2;3. 히어로들이 받고있는 버프를 표시해 줍니다.
tutorial_6_0;히어로들의 아이콘을 클릭, 적에게 드래그하여 사용할 수 있습니다.
tutorial_7_0;1. 아이콘을 클릭하여 현재까지 획득한 전리품을 확인할 수 있습니다.
tutorial_7_1;2. 적을 모두 처치하면 다음 경로를 확인할 수 있습니다.
tutorial_8_0;   경로 중 하나인 보급 지역입니다.
tutorial_8_1;1. 첫 번째 선택지를 고르면 히어로들의 체력을 15% 회복합니다.
tutorial_8_2;2. 두 번째 선택지는 체력 회복, 공격력 증가 등 여러 버프를
tutorial_8_3;5%, 15%, 30% 랜덤으로 획득합니다.
tutorial_8_4;
tutorial_8_5;3. 세 번째 선택지는 현재까지 획득한 전리품들을 즉시 획득합니다.
tutorial_8_6;스테이지를 클리어하기 위해 신중히 선택하세요!
tutorial_9_0;경로 중 하나인 사건 지역입니다.
tutorial_9_1;작전 중에는 항상 랜덤한 사건이 일어납니다.
tutorial_9_2;
tutorial_9_3;선택지 중 하나를 선택하여 작지만 확실한 보상을 얻거나,
tutorial_9_4;혹은 위험을 감수하고 더 큰 보상을 노릴 수도 있습니다.
tutorial_9_5;히어로들과 사건의 특징이 알맞은 정도에 따라 획득하는 보상이 달라집니다!
tutorial_10_0;경로 중 하나인 강적 지역입니다.
tutorial_10_1;제한된 시간 동안 강적을 쓰러트려 도시를 방어해야 합니다!
tutorial_11_0;1. 히어로가 영입될 확률을 확인할 수 있습니다.
tutorial_11_1;2. 히어로 영입의 횟수를 선택할 수 있습니다.
