ID;Contents
scout_probinfo;확률정보
scout_one;1회
scout_ten;10회
scout_result_confirm;확인
scout_probinfo_title;확률정보
missionselect_return;돌아가기
missionselect_info_start;작전 개시
heroselect_sort_rank;등급 정렬
heroselect_sort_level;레벨 정렬
heroselect_sort_type;타입 정렬
missionselect_alert_needmoreAP;스태미나가 부족합니다. 작전을 시작할 수 없습니다.
missionselect_alert_comfirm;확인
battle_lastenemy;남은 적
battle_pausemenu_option;옵션
battle_pausemenu_return;돌아가기
battle_pausemenu_escape;전투 이탈
battle_escape_return;돌아가기
battle_escape_escape;나가기
battle_result_confirm;확인
battle_lose_title;작전 실패
battle_lose_alert1;적이 너무 강하다면 히어로들의 레벨을 올려보세요
battle_lose_alert2;스킬을 바로 사용하는것 보다 적절한 타이밍에 사용하는 것이 더 좋을 수 있습니다
battle_lose_alert3;히어로들에게는 각자 고유한 스킬이 존재합니다. 다양한 조합을 시도해 보세요
battle_lose_escape;나가기
battle_clear_title;작전 성공
battle_clear_confirm;확인
heroinfo_info_button;정보
heroinfo_grow_button;성장
heroinfo_skill_button;스킬
heroinfo_experience;경험치
heroinfo_info_promotion;승급
heroinfo_info_atk;공격력
heroinfo_info_def;방어력
heroinfo_info_maxhp;최대 HP
heroinfo_info_movespeed;이동속도
heroinfo_info_critper;크리티컬 확률
heroinfo_info_critdamage;크리티컬 대미지
heroinfo_promotion_quote;히어로 승급을 진행하시겠습니까
heroinfo_promotion_needs;필요자원
heroinfo_promotion_confirm;확인
heroinfo_promotion_cancel;취소
heroinfo_powerup_atk;공격력
heroinfo_powerup_def;방어력
heroinfo_powerup_maxhp;체력
heroinfo_powerup_spd;공격속도
heroinfo_powerup_reset;초기화
heroinfo_skillupgrade_needs;필요 자원
heroinfo_skillupgrade_confirm;확인
heroinfo_skillupgrade_cancel;취소
office_mission;임무
office_train;훈련
office_dispatch;파견
office_heromanage;영웅
office_shop;상점
office_scout;영입
title_load_complete;화면을 터치해 주세요
set_nickname_title;이름 설정
set_nickname_confirm;확인
set_portrait_title;프로필 설정
